You entered a buffer length of 100
0.038547, 0.097785, 1.097165; 0.019273, 0.048892, 0.548582; 0.000000, 0.038547; 0.000000, 0.097785; 0.000000, 1.097165
0.044694, 0.103999, 1.097165; 0.031984, 0.076446, 0.822873; 0.000000, 0.044694; 0.000000, 0.103999; 0.000000, 1.097165
0.038547, 0.103999, 1.097165; 0.035265, 0.090222, 0.960019; 0.000000, 0.044694; 0.000000, 0.103999; 0.000000, 1.097165
0.038547, 0.103999, 1.097165; 0.036906, 0.097111, 1.028592; 0.000000, 0.044694; 0.000000, 0.103999; 0.000000, 1.097165
0.038547, 0.097785, 1.103417; 0.037726, 0.097448, 1.066005; 0.000000, 0.044694; 0.000000, 0.103999; 0.000000, 1.103417
0.038547, 0.097785, 1.097165; 0.038137, 0.097616, 1.081585; 0.000000, 0.044694; 0.000000, 0.103999; 0.000000, 1.103417
0.038547, 0.097785, 1.097165; 0.038342, 0.097700, 1.089375; 0.000000, 0.044694; 0.000000, 0.103999; 0.000000, 1.103417
0.038547, 0.103999, 1.097165; 0.038444, 0.100850, 1.093270; 0.000000, 0.044694; 0.000000, 0.103999; 0.000000, 1.103417
0.038547, 0.103999, 1.103417; 0.038495, 0.102424, 1.098343; 0.000000, 0.044694; 0.000000, 0.103999; 0.000000, 1.103417
0.038547, 0.103999, 1.097165; 0.038521, 0.103212, 1.097754; 0.000000, 0.044694; 0.000000, 0.103999; 0.000000, 1.103417
0.038547, 0.103999, 1.097165; 0.038534, 0.103605, 1.097459; 0.000000, 0.044694; 0.000000, 0.103999; 0.000000, 1.103417
0.038547, 0.103999, 1.097165; 0.038540, 0.103802, 1.097312; 0.000000, 0.044694; 0.000000, 0.103999; 0.000000, 1.103417
0.038547, 0.103999, 1.097165; 0.038543, 0.103901, 1.097238; 0.000000, 0.044694; 0.000000, 0.103999; 0.000000, 1.103417
0.038547, 0.103999, 1.090912; 0.038545, 0.103950, 1.094075; 0.000000, 0.044694; 0.000000, 0.103999; 0.000000, 1.103417
0.044694, 0.103999, 1.097165; 0.041620, 0.103974, 1.095620; 0.000000, 0.044694; 0.000000, 0.103999; 0.000000, 1.103417
0.044694, 0.103999, 1.097165; 0.043157, 0.103987, 1.096392; 0.000000, 0.044694; 0.000000, 0.103999; 0.000000, 1.103417
0.044694, 0.103999, 1.097165; 0.043926, 0.103993, 1.096778; 0.000000, 0.044694; 0.000000, 0.103999; 0.000000, 1.103417
0.044694, 0.103999, 1.090912; 0.044310, 0.103996, 1.093845; 0.000000, 0.044694; 0.000000, 0.103999; 0.000000, 1.103417
