You entered a buffer length of 100
0.339788, -0.157008, 0.490668; 0.169894, -0.078504, 0.245334; 0.000000, 0.339788; -0.157008, 0.000000; 0.000000, 0.490668
0.352084, -0.150794, 0.428143; 0.260989, -0.114649, 0.336738; 0.000000, 0.352084; -0.157008, 0.000000; 0.000000, 0.490668
0.370528, -0.138365, 0.353112; 0.315758, -0.126507, 0.344925; 0.000000, 0.370528; -0.157008, 0.000000; 0.000000, 0.490668
0.388971, -0.119722, 0.284334; 0.352365, -0.123114, 0.314630; 0.000000, 0.388971; -0.157008, 0.000000; 0.000000, 0.490668
0.401266, -0.101078, 0.209304; 0.376816, -0.112096, 0.261967; 0.000000, 0.401266; -0.157008, 0.000000; 0.000000, 0.490668
0.413562, -0.082435, 0.128021; 0.395189, -0.097266, 0.194994; 0.000000, 0.413562; -0.157008, 0.000000; 0.000000, 0.490668
0.413562, -0.063791, 0.046738; 0.404375, -0.080528, 0.120866; 0.000000, 0.413562; -0.157008, 0.000000; 0.000000, 0.490668
0.407414, -0.051363, -0.053303; 0.405895, -0.065946, 0.033781; 0.000000, 0.413562; -0.157008, 0.000000; -0.053303, 0.490668
0.388971, -0.032719, -0.140838; 0.397433, -0.049332, -0.053528; 0.000000, 0.413562; -0.157008, 0.000000; -0.140838, 0.490668
0.376675, -0.014076, -0.234627; 0.387054, -0.031704, -0.144078; 0.000000, 0.413562; -0.157008, 0.000000; -0.234627, 0.490668
0.364380, 0.004568, -0.322162; 0.375717, -0.013568, -0.233120; 0.000000, 0.413562; -0.157008, 0.004568; -0.322162, 0.490668
0.352084, 0.035640, -0.415950; 0.363900, 0.011036, -0.324535; 0.000000, 0.413562; -0.157008, 0.035640; -0.415950, 0.490668
0.345936, 0.066712, -0.509738; 0.354918, 0.038874, -0.417137; 0.000000, 0.413562; -0.157008, 0.066712; -0.509738, 0.490668
0.345936, 0.091570, -0.591021; 0.350427, 0.065222, -0.504079; 0.000000, 0.413562; -0.157008, 0.091570; -0.591021, 0.490668
0.345936, 0.128857, -0.672304; 0.348182, 0.097039, -0.588192; 0.000000, 0.413562; -0.157008, 0.128857; -0.672304, 0.490668
0.339788, 0.153715, -0.759840; 0.343985, 0.125377, -0.674016; 0.000000, 0.413562; -0.157008, 0.153715; -0.759840, 0.490668
0.333641, 0.191001, -0.828618; 0.338813, 0.158189, -0.751317; 0.000000, 0.413562; -0.157008, 0.191001; -0.828618, 0.490668
0.333641, 0.222074, -0.884891; 0.336227, 0.190132, -0.818104; 0.000000, 0.413562; -0.157008, 0.222074; -0.884891, 0.490668
0.339788, 0.240717, -0.934911; 0.338008, 0.215424, -0.876507; 0.000000, 0.413562; -0.157008, 0.240717; -0.934911, 0.490668
0.333641, 0.259361, -0.978679; 0.335824, 0.237392, -0.927593; 0.000000, 0.413562; -0.157008, 0.259361; -0.978679, 0.490668
0.333641, 0.265575, -0.959921; 0.334732, 0.251484, -0.943757; 0.000000, 0.413562; -0.157008, 0.265575; -0.978679, 0.490668
0.333641, 0.278004, -0.978679; 0.334187, 0.264744, -0.961218; 0.000000, 0.413562; -0.157008, 0.278004; -0.978679, 0.490668
0.321345, 0.271789, -0.978679; 0.327766, 0.268267, -0.969948; 0.000000, 0.413562; -0.157008, 0.278004; -0.978679, 0.490668
0.315197, 0.265575, -1.003689; 0.321482, 0.266921, -0.986819; 0.000000, 0.413562; -0.157008, 0.278004; -1.003689, 0.490668
0.315197, 0.271789, -1.028699; 0.318339, 0.269355, -1.007759; 0.000000, 0.413562; -0.157008, 0.278004; -1.028699, 0.490668
0.321345, 0.284218, -0.991184; 0.319842, 0.276787, -0.999471; 0.000000, 0.413562; -0.157008, 0.284218; -1.028699, 0.490668
0.327493, 0.290433, -0.966174; 0.323668, 0.283610, -0.982823; 0.000000, 0.413562; -0.157008, 0.290433; -1.028699, 0.490668
0.339788, 0.290433, -0.909901; 0.331728, 0.287021, -0.946362; 0.000000, 0.413562; -0.157008, 0.290433; -1.028699, 0.490668
0.339788, 0.278004, -0.859881; 0.335758, 0.282513, -0.903121; 0.000000, 0.413562; -0.157008, 0.290433; -1.028699, 0.490668
0.339788, 0.271789, -0.816113; 0.337773, 0.277151, -0.859617; 0.000000, 0.413562; -0.157008, 0.290433; -1.028699, 0.490668
0.333641, 0.265575, -0.772345; 0.335707, 0.271363, -0.815981; 0.000000, 0.413562; -0.157008, 0.290433; -1.028699, 0.490668
0.327493, 0.259361, -0.722325; 0.331600, 0.265362, -0.769153; 0.000000, 0.413562; -0.157008, 0.290433; -1.028699, 0.490668
0.302902, 0.240717, -0.666052; 0.317251, 0.253039, -0.717602; 0.000000, 0.413562; -0.157008, 0.290433; -1.028699, 0.490668
0.321345, 0.259361, -0.641042; 0.319298, 0.256200, -0.679322; 0.000000, 0.413562; -0.157008, 0.290433; -1.028699, 0.490668
0.272163, 0.215859, -0.584769; 0.295730, 0.236030, -0.632045; 0.000000, 0.413562; -0.157008, 0.290433; -1.028699, 0.490668
0.204537, 0.246932, -0.503486; 0.250134, 0.241481, -0.567766; 0.000000, 0.413562; -0.157008, 0.290433; -1.028699, 0.490668
0.167650, 0.284218, -0.409698; 0.208892, 0.262850, -0.488732; 0.000000, 0.413562; -0.157008, 0.290433; -1.028699, 0.490668
0.130764, 0.278004, -0.328415; 0.169828, 0.270427, -0.408573; 0.000000, 0.413562; -0.157008, 0.290433; -1.028699, 0.490668
0.100025, 0.265575, -0.265889; 0.134926, 0.268001, -0.337231; 0.000000, 0.413562; -0.157008, 0.290433; -1.028699, 0.490668
0.063138, 0.228288, -0.215869; 0.099032, 0.248145, -0.276550; 0.000000, 0.413562; -0.157008, 0.290433; -1.028699, 0.490668
0.020103, 0.197216, -0.165849; 0.059568, 0.222680, -0.221199; 0.000000, 0.413562; -0.157008, 0.290433; -1.028699, 0.490668
-0.029079, 0.147500, -0.103323; 0.015244, 0.185090, -0.162261; -0.029079, 0.413562; -0.157008, 0.290433; -1.028699, 0.490668
-0.090557, 0.103999, -0.040798; -0.037656, 0.144545, -0.101529; -0.090557, 0.413562; -0.157008, 0.290433; -1.028699, 0.490668
-0.145887, 0.060498, 0.027980; -0.091772, 0.102521, -0.036775; -0.145887, 0.413562; -0.157008, 0.290433; -1.028699, 0.490668
-0.213513, 0.023211, 0.090506; -0.152642, 0.062866, 0.026865; -0.213513, 0.413562; -0.157008, 0.290433; -1.028699, 0.490668
-0.262695, -0.014076, 0.146778; -0.207669, 0.024395, 0.086822; -0.262695, 0.413562; -0.157008, 0.290433; -1.028699, 0.490668
-0.318025, -0.051363, 0.203051; -0.262847, -0.013484, 0.144937; -0.318025, 0.413562; -0.157008, 0.290433; -1.028699, 0.490668
-0.361060, -0.076220, 0.265577; -0.311953, -0.044852, 0.205257; -0.361060, 0.413562; -0.157008, 0.290433; -1.028699, 0.490668
-0.422538, -0.101078, 0.346860; -0.367246, -0.072965, 0.276058; -0.422538, 0.413562; -0.157008, 0.290433; -1.028699, 0.490668
