You entered a buffer length of 20
0.063138, 0.147500, 1.097165; 0.031569, 0.073750, 0.548582; 0.000000, 0.063138; 0.000000, 0.147500; 0.000000, 1.097165
0.069286, 0.147500, 1.097165; 0.050427, 0.110625, 0.822873; 0.000000, 0.069286; 0.000000, 0.147500; 0.000000, 1.097165
0.063138, 0.153715, 1.097165; 0.056783, 0.132170, 0.960019; 0.000000, 0.069286; 0.000000, 0.153715; 0.000000, 1.097165
0.056990, 0.153715, 1.090912; 0.056886, 0.142942, 1.025466; 0.000000, 0.069286; 0.000000, 0.153715; 0.000000, 1.097165
0.056990, 0.166144, 1.097165; 0.056938, 0.154543, 1.061315; 0.000000, 0.069286; 0.000000, 0.166144; 0.000000, 1.097165
0.056990, 0.172358, 1.097165; 0.056964, 0.163451, 1.079240; 0.000000, 0.069286; 0.000000, 0.172358; 0.000000, 1.097165
0.056990, 0.172358, 1.097165; 0.056977, 0.167904, 1.088202; 0.000000, 0.069286; 0.000000, 0.172358; 0.000000, 1.097165
0.056990, 0.166144, 1.090912; 0.056984, 0.167024, 1.089557; 0.000000, 0.069286; 0.000000, 0.172358; 0.000000, 1.097165
0.063138, 0.159929, 1.090912; 0.060061, 0.163477, 1.090235; 0.000000, 0.069286; 0.000000, 0.172358; 0.000000, 1.097165
0.063138, 0.159929, 1.090912; 0.061599, 0.161703, 1.090573; 0.000000, 0.069286; 0.000000, 0.172358; 0.000000, 1.097165
0.063138, 0.159929, 1.097165; 0.062368, 0.160816, 1.093869; 0.000000, 0.069286; 0.000000, 0.172358; 0.000000, 1.097165
0.069286, 0.159929, 1.097165; 0.065827, 0.160373, 1.095517; 0.000000, 0.069286; 0.000000, 0.172358; 0.000000, 1.097165
0.063138, 0.172358, 1.097165; 0.064482, 0.166365, 1.096341; 0.000000, 0.069286; 0.000000, 0.172358; 0.000000, 1.097165
0.056990, 0.178573, 1.090912; 0.060736, 0.172469, 1.093626; 0.000000, 0.069286; 0.000000, 0.178573; 0.000000, 1.097165
0.056990, 0.184787, 1.084660; 0.058863, 0.178628, 1.089143; 0.000000, 0.069286; 0.000000, 0.184787; 0.000000, 1.097165
0.056990, 0.191001, 1.084660; 0.057927, 0.184815, 1.086901; 0.000000, 0.069286; 0.000000, 0.191001; 0.000000, 1.097165
0.056990, 0.197216, 1.090912; 0.057458, 0.191015, 1.088907; 0.000000, 0.069286; 0.000000, 0.197216; 0.000000, 1.097165
0.056990, 0.191001, 1.103417; 0.057224, 0.191008, 1.096162; 0.000000, 0.069286; 0.000000, 0.197216; 0.000000, 1.103417
0.056990, 0.184787, 1.115922; 0.057107, 0.187898, 1.106042; 0.000000, 0.069286; 0.000000, 0.197216; 0.000000, 1.115922
0.056990, 0.184787, 1.122175; 0.057049, 0.186342, 1.114108; 0.000000, 0.069286; 0.000000, 0.197216; 0.000000, 1.122175
0.056990, 0.178573, 1.122175; 0.057019, 0.182457, 1.118141; 0.000000, 0.069286; 0.000000, 0.197216; 0.000000, 1.122175
0.050842, 0.172358, 1.115922; 0.053931, 0.177408, 1.117031; 0.000000, 0.069286; 0.000000, 0.197216; 0.000000, 1.122175
0.056990, 0.172358, 1.115922; 0.055460, 0.174883, 1.116476; 0.000000, 0.069286; 0.000000, 0.197216; 0.000000, 1.122175
0.063138, 0.172358, 1.115922; 0.059299, 0.173620, 1.116199; 0.000000, 0.069286; 0.000000, 0.197216; 0.000000, 1.122175
0.063138, 0.184787, 1.109670; 0.061218, 0.179204, 1.112934; 0.000000, 0.069286; 0.000000, 0.197216; 0.000000, 1.122175
0.069286, 0.184787, 1.115922; 0.065252, 0.181995, 1.114427; 0.000000, 0.069286; 0.000000, 0.197216; 0.000000, 1.122175
0.069286, 0.191001, 1.103417; 0.067269, 0.186498, 1.108922; 0.000000, 0.069286; 0.000000, 0.197216; 0.000000, 1.122175
0.063138, 0.191001, 1.109670; 0.065203, 0.188750, 1.109295; 0.000000, 0.069286; 0.000000, 0.197216; 0.000000, 1.122175
0.063138, 0.178573, 1.103417; 0.064170, 0.183661, 1.106356; 0.000000, 0.069286; 0.000000, 0.197216; 0.000000, 1.122175
0.063138, 0.178573, 1.097165; 0.063654, 0.181117, 1.101760; 0.000000, 0.069286; 0.000000, 0.197216; 0.000000, 1.122175
0.063138, 0.172358, 1.103417; 0.063396, 0.176737, 1.102588; 0.000000, 0.069286; 0.000000, 0.197216; 0.000000, 1.122175
0.063138, 0.159929, 1.103417; 0.063267, 0.168333, 1.103002; 0.000000, 0.069286; 0.000000, 0.197216; 0.000000, 1.122175
0.063138, 0.153715, 1.109670; 0.063202, 0.161024, 1.106335; 0.000000, 0.069286; 0.000000, 0.197216; 0.000000, 1.122175
0.044694, 0.153715, 1.103417; 0.053948, 0.157369, 1.104876; 0.000000, 0.069286; 0.000000, 0.197216; 0.000000, 1.122175
0.044694, 0.147500, 1.109670; 0.049321, 0.152435, 1.107272; 0.000000, 0.069286; 0.000000, 0.197216; 0.000000, 1.122175
0.038547, 0.147500, 1.103417; 0.043934, 0.149967, 1.105344; 0.000000, 0.069286; 0.000000, 0.197216; 0.000000, 1.122175
0.038547, 0.159929, 1.109670; 0.041240, 0.154948, 1.107506; 0.000000, 0.069286; 0.000000, 0.197216; 0.000000, 1.122175
0.032399, 0.159929, 1.097165; 0.036820, 0.157439, 1.102335; 0.000000, 0.069286; 0.000000, 0.197216; 0.000000, 1.122175
0.032399, 0.135071, 1.072154; 0.034609, 0.146255, 1.087244; 0.000000, 0.069286; 0.000000, 0.197216; 0.000000, 1.122175
0.044694, 0.122642, 1.059649; 0.039652, 0.134449, 1.073446; 0.000000, 0.069286; 0.000000, 0.197216; 0.000000, 1.122175
0.056990, 0.128857, 1.040892; 0.048321, 0.131653, 1.057168; 0.000000, 0.069286; 0.000000, 0.197216; 0.000000, 1.122175
0.050842, 0.091570, 1.034639; 0.049581, 0.111611, 1.045903; 0.000000, 0.069286; 0.000000, 0.197216; 0.000000, 1.122175
0.050842, 0.060498, 0.997124; 0.050212, 0.086054, 1.021513; 0.000000, 0.069286; 0.000000, 0.197216; 0.000000, 1.122175
0.056990, 0.066712, 0.997124; 0.053601, 0.076383, 1.009318; 0.000000, 0.069286; 0.000000, 0.197216; 0.000000, 1.122175
0.075433, 0.097785, 1.022134; 0.064517, 0.087084, 1.015725; 0.000000, 0.075433; 0.000000, 0.197216; 0.000000, 1.122175
0.100025, 0.147500, 1.053397; 0.082271, 0.117292, 1.034561; 0.000000, 0.100025; 0.000000, 0.197216; 0.000000, 1.122175
0.106172, 0.166144, 1.103417; 0.094222, 0.141718, 1.068988; 0.000000, 0.106172; 0.000000, 0.197216; 0.000000, 1.122175
0.100025, 0.166144, 1.122175; 0.097123, 0.153931, 1.095581; 0.000000, 0.106172; 0.000000, 0.197216; 0.000000, 1.122175
0.087729, 0.147500, 1.140932; 0.092426, 0.150715, 1.118256; 0.000000, 0.106172; 0.000000, 0.197216; 0.000000, 1.140932
0.069286, 0.122642, 1.153437; 0.080856, 0.136679, 1.135846; 0.000000, 0.106172; 0.000000, 0.197216; 0.000000, 1.153437
0.069286, 0.103999, 1.159690; 0.075071, 0.120339, 1.147768; 0.000000, 0.106172; 0.000000, 0.197216; 0.000000, 1.159690
0.063138, 0.097785, 1.178447; 0.069104, 0.109062, 1.163107; 0.000000, 0.106172; 0.000000, 0.197216; 0.000000, 1.178447
0.056990, 0.091570, 1.190953; 0.063047, 0.100316, 1.177029; 0.000000, 0.106172; 0.000000, 0.197216; 0.000000, 1.190953
0.044694, 0.097785, 1.203458; 0.053871, 0.099050, 1.190243; 0.000000, 0.106172; 0.000000, 0.197216; 0.000000, 1.203458
0.050842, 0.097785, 1.215963; 0.052356, 0.098417, 1.203102; 0.000000, 0.106172; 0.000000, 0.197216; 0.000000, 1.215963
0.063138, 0.103999, 1.215963; 0.057747, 0.101208, 1.209532; 0.000000, 0.106172; 0.000000, 0.197216; 0.000000, 1.215963
0.069286, 0.097785, 1.222215; 0.063516, 0.099496, 1.215873; 0.000000, 0.106172; 0.000000, 0.197216; 0.000000, 1.222215
0.069286, 0.103999, 1.209710; 0.066401, 0.101748, 1.212791; 0.000000, 0.106172; 0.000000, 0.197216; 0.000000, 1.222215
0.069286, 0.091570, 1.203458; 0.067843, 0.096659, 1.208124; 0.000000, 0.106172; 0.000000, 0.197216; 0.000000, 1.222215
0.075433, 0.091570, 1.203458; 0.071638, 0.094114, 1.205790; 0.000000, 0.106172; 0.000000, 0.197216; 0.000000, 1.222215
0.081581, 0.085356, 1.203458; 0.076610, 0.089735, 1.204624; 0.000000, 0.106172; 0.000000, 0.197216; 0.000000, 1.222215
0.081581, 0.072927, 1.209710; 0.079095, 0.081331, 1.207167; 0.000000, 0.106172; 0.000000, 0.197216; 0.000000, 1.222215
0.087729, 0.079141, 1.215963; 0.083412, 0.080236, 1.211564; 0.000000, 0.106172; 0.000000, 0.197216; 0.000000, 1.222215
0.081581, 0.072927, 1.215963; 0.082497, 0.076581, 1.213763; 0.000000, 0.106172; 0.000000, 0.197216; 0.000000, 1.222215
0.081581, 0.079141, 1.203458; 0.082039, 0.077861, 1.208610; 0.000000, 0.106172; 0.000000, 0.197216; 0.000000, 1.222215
0.075433, 0.079141, 1.197205; 0.078736, 0.078501, 1.202907; 0.000000, 0.106172; 0.000000, 0.197216; 0.000000, 1.222215
0.069286, 0.085356, 1.178447; 0.074011, 0.081928, 1.190677; 0.000000, 0.106172; 0.000000, 0.197216; 0.000000, 1.222215
0.050842, 0.085356, 1.147185; 0.062426, 0.083642, 1.168930; 0.000000, 0.106172; 0.000000, 0.197216; 0.000000, 1.222215
0.044694, 0.110214, 1.128427; 0.053560, 0.096928, 1.148678; 0.000000, 0.106172; 0.000000, 0.197216; 0.000000, 1.222215
0.038547, 0.135071, 1.115922; 0.046054, 0.115999, 1.132300; 0.000000, 0.106172; 0.000000, 0.197216; 0.000000, 1.222215
0.026251, 0.147500, 1.103417; 0.036152, 0.131750, 1.117858; 0.000000, 0.106172; 0.000000, 0.197216; 0.000000, 1.222215
0.026251, 0.159929, 1.097165; 0.031202, 0.145839, 1.107511; 0.000000, 0.106172; 0.000000, 0.197216; 0.000000, 1.222215
0.020103, 0.147500, 1.084660; 0.025652, 0.146670, 1.096085; 0.000000, 0.106172; 0.000000, 0.197216; 0.000000, 1.222215
0.013955, 0.122642, 1.059649; 0.019804, 0.134656, 1.077866; 0.000000, 0.106172; 0.000000, 0.197216; 0.000000, 1.222215
0.013955, 0.097785, 1.034639; 0.016880, 0.116220, 1.056252; 0.000000, 0.106172; 0.000000, 0.197216; 0.000000, 1.222215
0.013955, 0.072927, 1.003376; 0.015418, 0.094573, 1.029814; 0.000000, 0.106172; 0.000000, 0.197216; 0.000000, 1.222215
0.020103, 0.054283, 0.984619; 0.017760, 0.074428, 1.007216; 0.000000, 0.106172; 0.000000, 0.197216; 0.000000, 1.222215
