You entered a buffer length of 20
0.087729, -0.138365, 1.059649; 0.043864, -0.069182, 0.529825; 0.000000, 0.087729; -0.138365, 0.000000; 0.000000, 1.059649
0.087729, -0.144579, 1.053397; 0.065797, -0.106881, 0.791611; 0.000000, 0.087729; -0.144579, 0.000000; 0.000000, 1.059649
0.093877, -0.144579, 1.047144; 0.079837, -0.125730, 0.919377; 0.000000, 0.093877; -0.144579, 0.000000; 0.000000, 1.059649
0.093877, -0.144579, 1.040892; 0.086857, -0.135155, 0.980135; 0.000000, 0.093877; -0.144579, 0.000000; 0.000000, 1.059649
0.100025, -0.144579, 1.028387; 0.093441, -0.139867, 1.004261; 0.000000, 0.100025; -0.144579, 0.000000; 0.000000, 1.059649
0.100025, -0.150794, 1.028387; 0.096733, -0.145331, 1.016324; 0.000000, 0.100025; -0.150794, 0.000000; 0.000000, 1.059649
0.106172, -0.157008, 1.015882; 0.101452, -0.151169, 1.016103; 0.000000, 0.106172; -0.157008, 0.000000; 0.000000, 1.059649
0.106172, -0.157008, 1.009629; 0.103812, -0.154089, 1.012866; 0.000000, 0.106172; -0.157008, 0.000000; 0.000000, 1.059649
0.106172, -0.163223, 1.009629; 0.104992, -0.158656, 1.011247; 0.000000, 0.106172; -0.163223, 0.000000; 0.000000, 1.059649
0.106172, -0.163223, 1.003376; 0.105582, -0.160939, 1.007312; 0.000000, 0.106172; -0.163223, 0.000000; 0.000000, 1.059649
0.106172, -0.163223, 0.997124; 0.105877, -0.162081, 1.002218; 0.000000, 0.106172; -0.163223, 0.000000; 0.000000, 1.059649
0.100025, -0.169437, 0.990871; 0.102951, -0.165759, 0.996545; 0.000000, 0.106172; -0.169437, 0.000000; 0.000000, 1.059649
0.106172, -0.169437, 0.997124; 0.104562, -0.167598, 0.996834; 0.000000, 0.106172; -0.169437, 0.000000; 0.000000, 1.059649
0.112320, -0.169437, 0.984619; 0.108441, -0.168518, 0.990727; 0.000000, 0.112320; -0.169437, 0.000000; 0.000000, 1.059649
0.112320, -0.169437, 0.978366; 0.110381, -0.168978, 0.984546; 0.000000, 0.112320; -0.169437, 0.000000; 0.000000, 1.059649
0.112320, -0.169437, 0.972114; 0.111350, -0.169207, 0.978330; 0.000000, 0.112320; -0.169437, 0.000000; 0.000000, 1.059649
0.118468, -0.163223, 0.965861; 0.114909, -0.166215, 0.972096; 0.000000, 0.118468; -0.169437, 0.000000; 0.000000, 1.059649
0.118468, -0.157008, 0.965861; 0.116689, -0.161612, 0.968978; 0.000000, 0.118468; -0.169437, 0.000000; 0.000000, 1.059649
0.112320, -0.150794, 0.972114; 0.114504, -0.156203, 0.970546; 0.000000, 0.118468; -0.169437, 0.000000; 0.000000, 1.059649
